Aménageur;Opérateur;Enseigne;Id station;Nom Station;Adresse;Code INSEE;Nombre Points de charge;ID Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Observations;Date de Mise à Jour;Source;Coordonnees;Code Officiel Région;Code Officiel Département;Code EPCI;Nom de l'EPCI;Commune;Nom de la région;Nom du département
Mitsubishi Villeneuve d'Ascq;DRIVECO;Mitsubishi Villeneuve d'Ascq;FR*G59*PDUGARDINMITSUBISHI59650*1;Mitsubishi Villeneuve d'Ascq;Boulebard de l'Ouest 59650 Villeneuve d'Ascq;59350;2;FR*G59*E10573*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.632313, 3.120473;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
Mouv'Oise;Freshmile;Freshmile;FR*S60*PRIBECOURT;Ribécourt Dreslincourt, République;Place de la République 60170 Ribécourt-Dreslincourt;60537;2;FR*S60*EQAHA*1;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-04-15;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.5104, 2.92314;32;60;246000772;CC des Deux Vallées;Ribécourt-Dreslincourt;HAUTS DE FRANCE;OISE
Mouv'Oise;Freshmile;Freshmile;FR*S60*PCYAVCQ;Senlis, Yves Carlier;25 Rue Yves Carlier 60300 Senlis;60612;2;FR*S60*EKREN*1;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-12-07;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.2088, 2.579;32;60;200066975;CC Senlis Sud Oise;Senlis;HAUTS DE FRANCE;OISE
Mouv'Oise;Freshmile;Freshmile;FR*S60*PXXJWHG;Cernay-la-Ville - Moulins;373 Rue Jean Renoir 60230 Chambly;60139;2;FR*S60*EKLTK*2;22.0;T2 - E/F;Payant;24h/24 7j/7;;2018-12-07;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-ba460b68-e779-4e9b-8295-24dc88981abe;49.1598, 2.25579;32;60;200067973;CC Thelloise;Chambly;HAUTS DE FRANCE;OISE
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59146*001;CHÉRENG - Rue Jean Ochin;Rue Jean Ochin 59152 CHÉRENG;59146;2;FR*M59*E59146*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.608524, 3.208113;32;59;200093201;Métropole Européenne de Lille;Chéreng;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59025*001;AUBERS - Place de l'Eglise;Place de l'Eglise 59249 AUBERS;59025;2;FR*M59*E59025*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.595184, 2.82549;32;59;200093201;Métropole Européenne de Lille;Aubers;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*236*1*_*_;Houplin - Médiathèque;Rue Pasteur, Houplin-Ancoisne;59316;2;FR*SOD*S*NPDC*236*1*_*_2;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.561569, 3.000154;32;59;200093201;Métropole Européenne de Lille;Houplin-Ancoisne;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59350*001;LOMME - Rue du grand but;Rue du grand but 59160 LOMME;59350;12;FR*M59*E59350*001*12;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.652771, 2.974986;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*241*1*_*_;Forest sur Marque - Pergola;Hammeau des Églantiers, Forest sur Marque;59247;2;FR*SOD*S*NPDC*241*1*_*_2;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.636709, 3.189922;32;59;200093201;Métropole Européenne de Lille;Forest-sur-Marque;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59208*001;ESCOBECQUES - Route d'Ennetières;Route d'Ennetières 59320 ESCOBECQUES;59208;2;FR*M59*E59208*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.622204, 2.931303;32;59;200093201;Métropole Européenne de Lille;Escobecques;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;Izivia;Pass pass electrique;FR*SOD*S*NPDC*252*1*_*_;Marquillies - Mairie;Rue de la Bourse, Marquillies;59388;2;FR*SOD*S*NPDC*252*1*_*_1;;E/F-T2;payant;24/24 7/7 jours;"Type charge indiquée selon décret de 2017
Type de charge : normale";2019-02-27;https://www.data.gouv.fr/fr/datasets/localisation-des-points-de-recharge-pour-vehicules-electriques/#resource-a05390b1-0e05-463f-9b73-45cab31f2d44;50.557431, 2.866748;32;59;200093201;Métropole Européenne de Lille;Marquillies;HAUTS DE FRANCE;NORD
Métropole Européenne de Lille;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*M59*P59013*001;ANSTAING - Rue Marie Curie;Rue Marie Curie 59152 ANSTAING;59013;2;FR*M59*E59013*001*2;18.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.606251, 3.190342;32;59;200093201;Métropole Européenne de Lille;Anstaing;HAUTS DE FRANCE;NORD
Opel Courrières;DRIVECO;Opel Courrières;FR*G44*PLEMPEREUROPEL62710*1;Opel Courrières;Espace Valauto, zone du rond-point 62710 Courrières;62250;5;FR*G44*E10351*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.442112, 2.94578;32;62;246200299;CA d'Hénin-Carvin;Courrières;HAUTS DE FRANCE;PAS DE CALAIS
Opel Dechy;DRIVECO;Opel Dechy;FR*G44*PLEMPEREUROPEL59187*1;Opel Dechy;Zone Luc rue Barack Obama 59187 Dechy;59170;6;FR*G44*E10355*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.343369, 3.119406;32;59;200044618;CA Douaisis Agglo;Dechy;HAUTS DE FRANCE;NORD
LM - Siege Lezennes;DRIVECO;LM - Siege Lezennes;FR*E56*PLMLEZENNES59260*1;LM - Siege Lezennes;Rue Chanzy 59260 Lezennes;59346;32;FR*E56*E10122*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.611698, 3.12165;32;59;200093201;Métropole Européenne de Lille;Lezennes;HAUTS DE FRANCE;NORD
LM - Siege Lezennes;DRIVECO;LM - Siege Lezennes;FR*E56*PLMLEZENNES59260*1;LM - Siege Lezennes;Rue Chanzy 59260 Lezennes;59346;32;FR*E56*E10136*P1;11.04;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.611698, 3.12165;32;59;200093201;Métropole Européenne de Lille;Lezennes;HAUTS DE FRANCE;NORD
IMT Douai - Lahure - Centre de Recherche;DRIVECO;IMT Douai - Lahure - Centre de Recherche;FR*E45*PIMTDOUAI59508*2;IMT Douai - Lahure - Centre de Recherche;764 Boulevard Lahure 59500 Douai Cedex;59178;4;FR*E45*E10225*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.3866, 3.0827;32;59;200044618;CA Douaisis Agglo;Douai;HAUTS DE FRANCE;NORD
JLR - Villeneuve d'Ascq;DRIVECO;JLR - Villeneuve d'Ascq;FR*G41*PJLRASCQ59650*1;JLR - Villeneuve d'Ascq;Boulevard de l'Ouest 59650 Villeneuve-d'Ascq;59350;5;FR*G41*E10165*P1;7.36;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.631029, 3.120357;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
JLR - Villeneuve d'Ascq;DRIVECO;JLR - Villeneuve d'Ascq;FR*G41*PJLRASCQ59650*1;JLR - Villeneuve d'Ascq;Boulevard de l'Ouest 59650 Villeneuve-d'Ascq;59350;5;FR*G41*E10165*P2;7.36;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.631029, 3.120357;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
Fiat Liévin - Lens;DRIVECO;Fiat Liévin - Lens;FR*G47*PLEMPEREURFIAT62800*1;Fiat Liévin - Lens;2 Avenue François Mitterrand 62800 Liévin;62510;9;FR*G47*E10475*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.426524, 2.786971;32;62;246200364;CA de Lens - Liévin;Liévin;HAUTS DE FRANCE;PAS DE CALAIS
Ford Calais;DRIVECO;Ford Calais;FR*G39*PDUGARDINFORD62100*1;Ford Calais;550 Route de Saint-Omer 62100 Calais;62193;7;FR*G39*E10536*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.937055, 1.884224;32;62;200090751;CA Grand Calais Terres et Mers;Calais;HAUTS DE FRANCE;PAS DE CALAIS
Ford Villeneuve d'Ascq;DRIVECO;Ford Villeneuve d'Ascq;FR*G39*PDUGARDINFORD59650*1;Ford Villeneuve d'Ascq;Boulevard de l'Ouest 59650 Villeneuve-d'Ascq;59350;7;FR*G39*E10570*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.632435, 3.120497;32;59;200093201;Métropole Européenne de Lille;Lille;HAUTS DE FRANCE;NORD
SE60;Freshmile;Mouv'Oise;FR*S60*P58AB18938675D;Lachapelle aux Pots;Rue de la gare 60650 Lachapelle aux Pots;60333;2;FR*S60*EYCHH*2;22.0;T2 - E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.4442, 1.90068;32;60;246000913;CC du Pays de Bray;Lachapelle-aux-Pots;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PTXWWXP;Compiègne, Gare;4 place de la Gare 60200 Compiègne;60159;2;FR*S60*EFWJT*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.4214, 2.82247;32;60;200067965;CA de la Région de Compiègne et de la Basse Automne;Compiègne;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PBRETEUIL;Breteuil, Paris;25 Rue de Paris 60120 Breteuil;60104;2;FR*S60*EXQWH*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.6323, 2.29768;32;60;200068005;CC de l'Oise Picarde;Breteuil;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PCFQLDZ;Noyon, Place Aristide Briand;Place Aristide Briand 60400 Noyon;60471;2;FR*S60*EKNRW*2;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-08-14;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.5815, 2.99869;32;60;246000756;CC du Pays Noyonnais;Noyon;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PCREIL8MAI;Creil, 8 Mai;Place du 8 Mai 60100 Creil;60175;2;FR*S60*ECCBF*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.2603, 2.4741;32;60;200068047;CA Creil Sud Oise;Creil;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PRIBECOURT;Ribécourt Dreslincourt, République;Place de la République 60170 Ribécourt-Dreslincourt;60537;2;FR*S60*EWLVW*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.5104, 2.92314;32;60;246000772;CC des Deux Vallées;Ribécourt-Dreslincourt;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PWUSGHU;Noyon, Parking Général de Gaulle;9 rue du Général de Gaulle 60400 Noyon;60471;2;FR*S60*EKLBP*2;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-08-14;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.5819, 3.00194;32;60;246000756;CC du Pays Noyonnais;Noyon;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*P*WLVW*WLVW;Ribécourt Dreslincourt, République;Place de la République 60170 Ribécourt-Dreslincourt;60537;2;FR*S60*EWVLW*2;22.0;T2 – E/F;Gratuit;24h/24;Navigateur application badge;2017-06-30;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-e82225aa-f38b-4009-88f7-c66cf2bc2a94;49.5104, 2.92314;32;60;246000772;CC des Deux Vallées;Ribécourt-Dreslincourt;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PBEAUVAISPARIS;Beauvais, Pont de Paris;26 Boulevard Aristide Briand 60000 Beauvais;60057;2;FR*S60*EAXPG*2;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.4264, 2.08214;32;60;200067999;CA du Beauvaisis;Beauvais;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PVILLERS;Villers-sous-Saint-Leu, Primevères;17 rue des Primevères 60340 Villers-sous-saint-Leu;60686;2;FR*S60*EXSEU*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.2075, 2.39058;32;60;200067973;CC Thelloise;Villers-sous-Saint-Leu;HAUTS DE FRANCE;OISE
Aventim - Lazaro3;DRIVECO;Aventim - Lazaro3;FR*SSD*PAVENTIMLAZARO359520*1;Aventim - Lazaro3;187 rue de Menin Parc de l?Innovation 59520 Marquette-Lez-Lille;59386;4;FR*SSD*E10166*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.679924, 3.083205;32;59;200093201;Métropole Européenne de Lille;Marquette-lez-Lille;HAUTS DE FRANCE;NORD
Aventim Bouvines - Lot 1;DRIVECO;Aventim Bouvines - Lot 1;FR*SSD*PAVENTIM59830*1;Aventim Bouvines - Lot 1;1424 rue Félix Dehau 59830 Bouvines;59106;8;FR*SSD*E10412*P1;22.08;EF, T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.574045, 3.199466;32;59;200093201;Métropole Européenne de Lille;Bouvines;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59514*001;ROUSIES - Rue de la Mairie;Rue de la Mairie 59131 ROUSIES;59514;2;FR*H02*E59514*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.272598, 4.005444;32;59;200043396;CA Maubeuge Val de Sambre;Rousies;HAUTS DE FRANCE;NORD
Communauté d'Agglomération du Boulonnais;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H05*P62908*001;LA CAPELLE-LÈS-BOULOGNE - Rue Marcel Caudevelle;Rue Marcel Caudevelle 62360 LA CAPELLE-LÈS-BOULOGNE;62908;2;FR*H05*E62908*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2021-01-02;https://www.data.gouv.fr/fr/datasets/bornes-de-recharge-de-la-communaute-dagglomeration-du-boulonnais/#resource-1bf801fa-43c0-448e-949a-0a91ac15d11c;50.730942, 1.707534;32;62;246200729;CA du Boulonnais;La Capelle-lès-Boulogne;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération du Pays de Saint Omer;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H01*P62901*001;WITTES - RDV 943;RDV 943 62120 WITTES;62901;2;FR*H01*E62901*001*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.66732, 2.392366;32;62;200069037;CA du Pays de Saint-Omer;Wittes;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération du Pays de Saint Omer;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H01*P62765*001;SAINT-OMER - Chemin du Marais;Chemin du Marais 62500 SAINT-OMER;62765;4;FR*H01*E62765*001*3;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.753571, 2.269641;32;62;200069037;CA du Pays de Saint-Omer;Saint-Omer;HAUTS DE FRANCE;PAS DE CALAIS
Communauté de Communes Flandre-Lys;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H09*P59212*001;ESTAIRES - Rue de l’Ondine;Rue de l’Ondine 59940 ESTAIRES;59212;2;FR*H09*E59212*001*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.646614, 2.704682;32;59;245900758;CC Flandre Lys;Estaires;HAUTS DE FRANCE;NORD
Communauté de Communes du Coeur d'Ostrevent;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H07*P59008*003;ANICHE - Rue des Frères Fâché;Rue des Frères Fâché 59580 ANICHE;59008;2;FR*H07*E59008*003*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.33411, 3.242844;32;59;245901152;CC Cœur d'Ostrevent;Aniche;HAUTS DE FRANCE;NORD
Communauté de Communes du Coeur d'Ostrevent;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H07*P59345*002;LEWARDE - Domaine du Château;Domaine du Château 59287 LEWARDE;59345;2;FR*H07*E59345*002*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.33691, 3.165049;32;59;245901152;CC Cœur d'Ostrevent;Lewarde;HAUTS DE FRANCE;NORD
Communauté de Communes du Pays d'Opale;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H11*P62506*001;LICQUES - Place du Général de Gaulle;Place du Général de Gaulle 62850 LICQUES;62506;2;FR*H11*E62506*001*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.784527, 1.931983;32;62;200072478;CC Pays d'Opale;Licques;HAUTS DE FRANCE;PAS DE CALAIS
Communauté de Communes du Pays de Lumbres;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H10*P62794*001;SETQUES - Route départementale 942;Route départementale 942 62380 SETQUES;62794;4;FR*H10*E62794*001*4;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.722271, 2.171564;32;62;246201016;CC du Pays de Lumbres;Setques;HAUTS DE FRANCE;PAS DE CALAIS
Communauté de Communes du Pays de Lumbres;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H10*P62794*001;SETQUES - Route départementale 942;Route départementale 942 62380 SETQUES;62794;4;FR*H10*E62794*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.722271, 2.171564;32;62;246201016;CC du Pays de Lumbres;Setques;HAUTS DE FRANCE;PAS DE CALAIS
EDHEC - Campus Arnault;DRIVECO;EDHEC - Campus Arnault;FR*SSD*PEDHEC59100*1;EDHEC - Campus Arnault;5 Avenue Louis Pluquet 59100 Roubaix;59512;4;FR*SSD*E10785*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.672618, 3.15422;32;59;200093201;Métropole Européenne de Lille;Roubaix;HAUTS DE FRANCE;NORD
CEETRUS Roncq3 Pizza Paï;DRIVECO;CEETRUS Roncq3 Pizza Paï;FR*SSD*PCEETRUS59656*4;CEETRUS Roncq3 Pizza Paï;Rue du Ventoux 59650 Villeneuve-d'Ascq;59009;4;FR*SSD*E10283*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.618301, 3.12961;32;59;200093201;Métropole Européenne de Lille;Villeneuve-d'Ascq;HAUTS DE FRANCE;NORD
Communauté Urbaine d'Arras;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H06*P62041*003;ARRAS - Rue Abel Bergaigne;Rue Abel Bergaigne 62000 ARRAS;62041;2;FR*H06*E62041*003*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.285164, 2.775698;32;62;200033579;CU d'Arras;Arras;HAUTS DE FRANCE;PAS DE CALAIS
Communauté Urbaine d'Arras;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H06*P62041*001;ARRAS - Rue Emile Didier;Rue Emile Didier 62000 ARRAS;62041;2;FR*H06*E62041*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.282436, 2.796768;32;62;200033579;CU d'Arras;Arras;HAUTS DE FRANCE;PAS DE CALAIS
Communauté Urbaine d'Arras;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H06*P62041*012;ARRAS - Boulevard Schuman;Boulevard Schuman 62000 ARRAS;62041;2;FR*H06*E62041*012*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.297276, 2.781572;32;62;200033579;CU d'Arras;Arras;HAUTS DE FRANCE;PAS DE CALAIS
