Aménageur;Opérateur;Enseigne;Id station;Nom Station;Adresse;Code INSEE;Nombre Points de charge;ID Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Observations;Date de Mise à Jour;Source;Coordonnees;Code Officiel Région;Code Officiel Département;Code EPCI;Nom de l'EPCI;Commune;Nom de la région;Nom du département
USEDA;CITEOS-FRESHMILE;DIRVE 02;FR*S02*E0236121A;0021 - place lesur;Place Lesur 02120 GUISE;02361;2;FR*S02*E0236121A2;22.0;E/F-T2;payant;accessible 24h/24 - 7j/7;recharge normale et accélérée accessible par application smartphone/internet et badge - informations site web useda.fr -facturation en fonction de la puissance et du temps de charge;2020-09-03;https://www.data.gouv.fr/fr/datasets/useda-dirve02/#resource-23e00253-d144-447a-ae1c-92b2b774ab07;49.898701, 3.628538;32;02;200071983;CC Thiérache Sambre et Oise;Guise;HAUTS DE FRANCE;AISNE
USEDA;CITEOS-FRESHMILE;DIRVE 02;FR*S02*E0272294A;0094 - Rue Marcel Paul;Rue Marcel Paul à proximité du poste 02200 SOISSONS;02722;2;FR*S02*E0272294A1;22.0;E/F-T2;payant;accessible 24h/24 - 7j/7;recharge normale et accélérée accessible par application smartphone/internet et badge - informations site web useda.fr -facturation en fonction de la puissance et du temps de charge;2020-09-03;https://www.data.gouv.fr/fr/datasets/useda-dirve02/#resource-23e00253-d144-447a-ae1c-92b2b774ab07;49.365991, 3.314632;32;02;240200477;CA GrandSoissons Agglomération;Soissons;HAUTS DE FRANCE;AISNE
USEDA;CITEOS-FRESHMILE;DIRVE 02;FR*S02*E02543114A;0114 - Place de l'Eglise;Place de l'église  promenade des filoirs 02470 Neuilly-Saint-Front;02543;2;FR*S02*E02543114A2;22.0;E/F-T2;payant;accessible 24h/24 - 7j/7;recharge normale et accélérée accessible par application smartphone/internet et badge - informations site web useda.fr -facturation en fonction de la puissance et du temps de charge;2020-09-03;https://www.data.gouv.fr/fr/datasets/useda-dirve02/#resource-23e00253-d144-447a-ae1c-92b2b774ab07;49.170737, 3.259815;32;02;200072031;CA de la Région de Château-Thierry;Neuilly-Saint-Front;HAUTS DE FRANCE;AISNE
Aventim Bouvines - Lot 1;DRIVECO;Aventim Bouvines - Lot 1;FR*SSD*PAVENTIM59830*1;Aventim Bouvines - Lot 1;1424 rue Félix Dehau 59830 Bouvines;59106;8;FR*SSD*E10412*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.574045, 3.199466;32;59;200093201;Métropole Européenne de Lille;Bouvines;HAUTS DE FRANCE;NORD
BMW Béthune;DRIVECO;BMW Béthune;FR*G56*PLEMPEREURBMW62400*1;BMW Béthune;Technoparc Futura 62400 Verquigneul;62847;4;FR*G56*E10631*P2;22.08;T2;Gratuit;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.512507, 2.659517;32;62;200072460;CA de Béthune-Bruay,Artois-Lys Romane;Verquigneul;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59190*001;ÉLESMES - Ruie du Pont de Pierre;Ruie du Pont de Pierre 59600 ÉLESMES;59190;2;FR*H02*E59190*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.306171, 4.010159;32;59;200043396;CA Maubeuge Val de Sambre;Élesmes;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59385*001;MARPENT - Rue des Frères Roucheau;Rue des Frères Roucheau 59164 MARPENT;59385;2;FR*H02*E59385*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.292732, 4.079819;32;59;200043396;CA Maubeuge Val de Sambre;Marpent;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59365*001;LOUVROIL - Route d'Avesnes;Route d'Avesnes 59720 LOUVROIL;59365;2;FR*H02*E59365*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.264469, 3.962514;32;59;200043396;CA Maubeuge Val de Sambre;Louvroil;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59068*001;BERLAIMONT - Rue de Bruxelles;Rue de Bruxelles 59145 BERLAIMONT;59068;2;FR*H02*E59068*001*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.203831, 3.813239;32;59;200043396;CA Maubeuge Val de Sambre;Berlaimont;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Maubeuge Val de Sambre;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H02*P59467*001;PONT-SUR-SAMBRE - Rue du huit mai 1945;Rue du huit mai 1945 59138 PONT-SUR-SAMBRE;59467;2;FR*H02*E59467*001*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.222366, 3.848917;32;59;200043396;CA Maubeuge Val de Sambre;Pont-sur-Sambre;HAUTS DE FRANCE;NORD
